                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2731,                 1.3795,                 1.2836,                0.93379,                0.85131,                0.92178,                0.57107,                 1.3475,                0.88951,                 1.3035,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.2761,                0.81403,                 1.3091,                0.94713,                0.90751,                0.93696,                0.54199,                 1.4897,                0.71919,                 1.4106,              0.0012669,              0.0012669,              0.0012669
                      3,                 1.2537,                0.74925,                  1.301,                0.95505,                0.91088,                0.94683,                0.58039,                 1.3802,                0.70557,                 1.3463,              0.0018015,              0.0018015,              0.0018015
                      4,                 1.2252,                0.70301,                 1.2878,                0.96504,                0.91979,                0.96561,                0.61518,                 1.2946,                0.59924,                 1.3039,               0.001703,               0.001703,               0.001703
                      5,                 1.2034,                0.67024,                 1.2803,                0.95039,                0.92543,                0.96632,                0.62132,                 1.2857,                0.58109,                 1.3299,               0.001703,               0.001703,               0.001703
                      6,                 1.1762,                0.64246,                 1.2583,                 0.9643,                 0.9348,                0.97371,                0.61534,                 1.3079,                0.56174,                 1.3392,               0.001604,               0.001604,               0.001604
                      7,                 1.1547,                0.61436,                 1.2504,                0.96973,                0.93762,                0.97267,                0.63051,                 1.2691,                0.52589,                 1.3091,               0.001505,               0.001505,               0.001505
                      8,                 1.1372,                0.58503,                  1.233,                0.97138,                0.93668,                 0.9674,                0.64643,                 1.2128,                0.52428,                 1.2855,               0.001406,               0.001406,               0.001406
                      9,                 1.1296,                0.57792,                 1.2378,                0.96875,                0.94523,                0.97668,                0.65881,                 1.2035,                0.49986,                 1.2745,               0.001307,               0.001307,               0.001307
                     10,                 1.1059,                0.56088,                 1.2205,                0.96931,                0.94812,                0.97832,                0.66463,                  1.184,                0.49119,                 1.2705,               0.001208,               0.001208,               0.001208
                     11,                 1.1013,                0.48175,                 1.2451,                 0.9735,                0.94751,                0.97719,                0.67381,                 1.1579,                0.48804,                 1.2699,               0.001109,               0.001109,               0.001109
                     12,                 1.0833,                0.46332,                 1.2269,                0.97203,                0.95356,                0.98117,                0.67887,                 1.1636,                0.46711,                 1.2702,                0.00101,                0.00101,                0.00101
                     13,                 1.0673,                 0.4534,                 1.2174,                0.97664,                 0.9531,                0.97977,                0.68597,                 1.1495,                0.45631,                  1.266,               0.000911,               0.000911,               0.000911
                     14,                 1.0542,                0.44132,                 1.2082,                0.97824,                 0.9488,                0.98066,                0.68041,                 1.1526,                0.45591,                 1.2324,               0.000812,               0.000812,               0.000812
                     15,                 1.0399,                0.42854,                 1.2008,                  0.979,                0.94747,                0.98056,                 0.6874,                  1.136,                0.45191,                 1.2559,               0.000713,               0.000713,               0.000713
                     16,                 1.0225,                0.41423,                 1.1884,                0.98436,                0.94455,                0.98312,                0.68988,                 1.1305,                0.43744,                 1.2466,               0.000614,               0.000614,               0.000614
                     17,                 1.0095,                0.40247,                 1.1799,                  0.977,                0.95636,                0.98428,                0.69288,                 1.1352,                0.42802,                 1.2434,               0.000515,               0.000515,               0.000515
                     18,                0.99325,                0.39395,                 1.1656,                0.97487,                0.95919,                0.98272,                0.69347,                 1.1357,                0.42502,                 1.2511,               0.000416,               0.000416,               0.000416
                     19,                0.97959,                0.38193,                 1.1618,                0.97184,                0.96811,                0.98385,                0.69845,                 1.1262,                 0.4146,                  1.239,               0.000317,               0.000317,               0.000317
                     20,                0.96996,                0.37168,                 1.1559,                0.97526,                0.96145,                0.98479,                 0.6979,                 1.1258,                0.41115,                 1.2413,               0.000218,               0.000218,               0.000218
